Octave version 3.8.1
Minc-tool-kit version 0.3.18-20130531
NIAK quarantine /home/pbellec/git/niak/commands/misc/niak_gb_vars.m
Deamon started on 16-Apr-2016 13:51:53
16-Apr-2016 13:51:54 Starting the pipeline manager...
16-Apr-2016 13:51:54 Starting the garbage collector...
16-Apr-2016 13:51:55 Starting worker number 1...
16-Apr-2016 13:51:55 Starting worker number 2...
16-Apr-2016 13:51:57 Starting worker number 3...
16-Apr-2016 13:51:57 Starting worker number 4...
16-Apr-2016 13:51:57 Starting worker number 5...
16-Apr-2016 13:51:57 Starting worker number 6...
16-Apr-2016 13:51:58 Starting worker number 7...
16-Apr-2016 13:51:58 Starting worker number 8...
16-Apr-2016 13:51:58 Starting worker number 9...
16-Apr-2016 13:51:58 Starting worker number 10...
16-Apr-2016 13:51:59 Starting worker number 11...
16-Apr-2016 13:51:59 Starting worker number 12...
16-Apr-2016 13:51:59 Starting worker number 13...
16-Apr-2016 13:51:59 Starting worker number 14...
16-Apr-2016 13:52:00 Starting worker number 15...
16-Apr-2016 13:52:00 Starting worker number 16...
16-Apr-2016 13:52:00 Starting worker number 17...
16-Apr-2016 13:52:00 Starting worker number 18...
16-Apr-2016 13:52:01 Starting worker number 19...
16-Apr-2016 13:52:01 Starting worker number 20...
16-Apr-2016 13:52:01 Starting worker number 21...
16-Apr-2016 13:52:01 Starting worker number 22...
16-Apr-2016 13:52:02 Starting worker number 23...
16-Apr-2016 13:52:03 Starting worker number 24...
16-Apr-2016 13:52:03 Starting worker number 25...
16-Apr-2016 13:52:03 Starting worker number 26...
16-Apr-2016 13:52:04 Starting worker number 27...
16-Apr-2016 13:52:04 Starting worker number 28...
16-Apr-2016 13:52:04 Starting worker number 29...
16-Apr-2016 13:52:04 Starting worker number 30...
16-Apr-2016 13:52:04 Starting worker number 31...
16-Apr-2016 13:52:05 Starting worker number 32...
16-Apr-2016 13:52:05 Starting worker number 33...
16-Apr-2016 13:52:05 Starting worker number 34...
16-Apr-2016 13:52:05 Starting worker number 35...
16-Apr-2016 13:52:06 Starting worker number 36...
16-Apr-2016 13:52:06 Starting worker number 37...
16-Apr-2016 13:52:06 Starting worker number 38...
16-Apr-2016 13:52:06 Starting worker number 39...
16-Apr-2016 13:52:07 Starting worker number 40...
16-Apr-2016 13:52:07 Starting worker number 41...
16-Apr-2016 13:52:08 Starting worker number 42...
16-Apr-2016 13:52:08 Starting worker number 43...
16-Apr-2016 13:52:08 Starting worker number 44...
16-Apr-2016 13:52:08 Starting worker number 45...
16-Apr-2016 13:52:09 Starting worker number 46...
16-Apr-2016 13:52:09 Starting worker number 47...
16-Apr-2016 13:52:09 Starting worker number 48...
16-Apr-2016 13:52:09 Starting worker number 49...
16-Apr-2016 13:52:10 Starting worker number 50...
16-Apr-2016 13:52:10 Starting worker number 51...
16-Apr-2016 13:52:10 Starting worker number 52...
16-Apr-2016 13:52:10 Starting worker number 53...
16-Apr-2016 13:52:11 Starting worker number 54...
16-Apr-2016 13:52:11 Starting worker number 55...
16-Apr-2016 13:52:11 Starting worker number 56...
